Time resolution is 1 ps
[INST FETCH] @25000 pc=0x00000000 inst=0x00000093 swio_i=0 timer_i=0
[INST FETCH] @35000 pc=0x00000004 inst=0x00100113 swio_i=0 timer_i=0
[INST FETCH] @45000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @55000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @65000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @75000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @85000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @95000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @105000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @115000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @125000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @135000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @145000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @155000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @165000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @175000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @185000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @195000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @205000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @215000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @225000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
[INST FETCH] @235000 pc=0x00000008 inst=0x002081b3 swio_i=0 timer_i=0
[INST FETCH] @245000 pc=0x0000000c inst=0x00310223 swio_i=0 timer_i=0
