Time resolution is 1 ps
Block Memory Generator module CPU_Top_tb.cpu.data_memory.inst.native_mem_module.blk_mem_gen_v8_4_8_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module CPU_Top_tb.cpu.inst_memory.inst.native_mem_module.blk_mem_gen_v8_4_8_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time=0 | rst=1 | pc_if=00000000 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000013 | rf_data=00000000 | mem_data=00000000 | state=000
Time=20000 | rst=0 | pc_if=00000000 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000013 | rf_data=00000000 | mem_data=00000000 | state=000
Time=45000 | rst=0 | pc_if=00000000 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=00000000 | mem_data=00000000 | state=000
Time=50000 | rst=0 | pc_if=00000000 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=000
Time=55000 | rst=0 | pc_if=00000000 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=65000 | rst=0 | pc_if=00000000 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=75000 | rst=0 | pc_if=00000004 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=85000 | rst=0 | pc_if=00000004 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=95000 | rst=0 | pc_if=00000004 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=105000 | rst=0 | pc_if=00000004 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=115000 | rst=0 | pc_if=00000004 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00000000 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=115000 | rst=0 | pc_if=00000004 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00b50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=125000 | rst=0 | pc_if=00000008 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000000 | IF_inst=00b50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=011
Time=135000 | rst=0 | pc_if=00000008 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000004 | IF_inst=00b50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=100
Time=145000 | rst=0 | pc_if=00000008 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000004 | IF_inst=00b50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=101
Time=155000 | rst=0 | pc_if=00000008 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000004 | IF_inst=00b50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=001
Time=165000 | rst=0 | pc_if=00000008 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000004 | IF_inst=00b50533 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
Time=165000 | rst=0 | pc_if=00000008 | pc_id=00000000 | pc_ex=00000000 | pc_mem=00000000 | pc_wb=00000004 | IF_inst=00a52513 | rf_data=xxxxxxxx | mem_data=00000000 | state=010
